Unique ID,Post,Labels Set,Filtered_Post
1,"मेरे देश के हिन्दु बहुत निराले है। कुछ तो पक्के राम भक्त है और कुछ बाबर के साले है 

🙏 जय श्री राम 🙏","hate,offensive",मेरे देश हिन्दु निराले है। पक्के राम भक्त बाबर साले 🙏 जय श्री राम 🙏
2,"सरकार हमेशा से किसानों की कमाई को बढ़ाने के लिए नई-नई स्कीमें लाती रहती है, ताकि उन पर ज्यादा आर्थिक बोझ न पड़े.

https://t.co/8iy2MJSBAs",non-hostile,"सरकार हमेशा किसानों कमाई बढ़ाने नई-नई स्कीमें लाती है, ताकि आर्थिक बोझ पड़े. https://t.co/8iy2MJSBAs"
3,"सुशांत ने जो बिजनेस डील 9 जून को की थी, वो डील दीपेश को सुशांत की हत्या के दिन ही क्यों याद आई? देखिए 'पूछता है भारत' अर्नब के साथ रिपब्लिक भारत पर #LIVE :  https://t.co/G945HvzM0Z https://t.co/KfH7xF1IdM",non-hostile,"सुशांत बिजनेस डील 9 जून थी, वो डील दीपेश सुशांत हत्या दिन याद आई? देखिए 'पूछता भारत' अर्नब रिपब्लिक भारत #LIVE : https://t.co/G945HvzM0Z https://t.co/KfH7xF1IdM"
4,@prabhav218 साले जेएनयू छाप कमिने लोग हिन्दुओं को यह कहते है की संविधान सबको बराबर अधिकार देता है। सच्चाई यह है कि यह बराबर अधिकार नहीं देता है।,"defamation,offensive",@prabhav218 साले जेएनयू छाप कमिने लोग हिन्दुओं संविधान सबको बराबर अधिकार देता है। सच्चाई बराबर अधिकार देता है।
5,"#unlock4guidelines - अनलॉक-4 के लिए गाइडलाइन्स जारी

- 7 सितंबर से देशभर में मेट्रो सेवा शुरु होगी
- 21 सितंबर के बाद रैलियों और बाकी फंक्शन में 100 लोगों को इजाजत
- कंटेनमेंट जोन में कोई छूट नहीं
- सिनेमाहॉल अभी बंद रहेंगे
- 9 से 12वीं के छात्र 21 सितंबर के बाद स्कूल जा सकेंगे. https://t.co/4e6lysg0VR",non-hostile,#unlock4guidelines - अनलॉक-4 गाइडलाइन्स जारी - 7 सितंबर देशभर मेट्रो सेवा शुरु होगी - 21 सितंबर रैलियों बाकी फंक्शन 100 लोगों इजाजत - कंटेनमेंट जोन छूट - सिनेमाहॉल रहेंगे - 9 12वीं छात्र 21 सितंबर स्कूल सकेंगे. https://t.co/4e6lysg0VR
6,"चीन ने UN में तर्क दिया की भारत का विपक्ष ही अजर‌ मसुद को आतंकी नहीं मानता तो हम कैसे माने। चुल्लू भर मूत्र में डूब मरो गद्दारों। अब यह भारत के लोगों को सोचना है कि वो विपक्ष को वोट क्यों करें…विक्रम शर्मा

",fake,चीन UN तर्क भारत विपक्ष अजर‌ मसुद आतंकी मानता माने। चुल्लू भर मूत्र डूब मरो गद्दारों। भारत लोगों सोचना वो विपक्ष वोट करें…विक्रम शर्मा
7,"देश में #Corona के रिकॉर्ड मामले  
#ZeeJankariOnCorona  
@Sheerin_sherry https://t.co/V6UddREAtW",non-hostile,देश #Corona रिकॉर्ड मामले #ZeeJankariOnCorona @Sheerin_sherry https://t.co/V6UddREAtW
8,"#JEE Exam center से निकले #Students को सुन बाकी छात्रों के साथ Parents के चेहरे पर मुस्कान आ जाएगी
https://t.co/TQ7nfIv0I0 https://t.co/gGCDYYEz6E",non-hostile,#JEE Exam center निकले #Students सुन बाकी छात्रों Parents चेहरे मुस्कान आ जाएगी https://t.co/TQ7nfIv0I0 https://t.co/gGCDYYEz6E
9,"#AkshayKumar जल्द ही बेयर ग्रिल्स के शो 'इंटू द वाइल्ड विद बेयर ग्रिल्स' में नजर आने वाले हैं। 

https://t.co/wGp2WS0wuM",non-hostile,#AkshayKumar जल्द बेयर ग्रिल्स शो 'इंटू द वाइल्ड विद बेयर ग्रिल्स' नजर आने हैं। https://t.co/wGp2WS0wuM
10,"#जीवनसंवाद: हम संघर्ष करना चाहते हैं, क्योंकि सामने संघर्ष की मिसाल रखना चाहते हैं. नए शहर में इतना कुछ नया होगा कि हमें अपनी जड़ें जमाने में बरसों बीत जाएंगे. हम कर्ज में जरूर हैं, लेकिन हम हारना नहीं चाहते. वह भी बिना लड़े.
#JeevanSamvad
@DayashankarMi
https://t.co/nd7troF0JF https://t.co/CmAzq2Mj8S",non-hostile,"#जीवनसंवाद: संघर्ष चाहते हैं, क्योंकि सामने संघर्ष मिसाल रखना चाहते हैं. नए शहर इतना नया होगा हमें जड़ें जमाने बरसों बीत जाएंगे. कर्ज जरूर हैं, हारना चाहते. बिना लड़े. #JeevanSamvad @DayashankarMi https://t.co/nd7troF0JF https://t.co/CmAzq2Mj8S"
